io	variableGroup	variableName	uri	valueType	allowedVariableValues
output	Variant	1_30459412_T_C	TBD	Number	1
output	Variant	1_30459797_G_A	TBD	Number	1
output	Variant	1_30460674_A_G	TBD	Number	1
output	Variant	1_30462907_T_G	TBD	Number	1
output	Variant	1_30463384_C_T	TBD	Number	1
output	Variant	1_30464420_A_T	TBD	Number	1
output	Variant	1_30465387_T_A	TBD	Number	1
output	Variant	1_30467691_C_T	TBD	Number	1
output	Variant	1_30472001_C_A	TBD	Number	1
output	Variant	1_33921878_C_T	TBD	Number	1
output	Variant	1_33930301_A_G	TBD	Number	1
output	Variant	1_35687203_T_C	TBD	Number	1
output	Variant	1_37147203_C_T	TBD	Number	1
output	Variant	1_37162352_A_G	TBD	Number	1
output	Variant	1_37169665_C_T	TBD	Number	1
output	Variant	1_38252609_A_G	TBD	Number	1
output	Variant	1_38252653_G_T	TBD	Number	1
output	Variant	1_38253304_C_T	TBD	Number	1
output	Variant	1_38256427_T_C	TBD	Number	1
output	Variant	1_38258007_G_C	TBD	Number	1
output	Variant	1_38386727_G_A	TBD	Number	1
output	Variant	1_38397341_G_A	TBD	Number	1
output	Variant	1_38397369_C_T	TBD	Number	1
output	Variant	1_38398588_T_C	TBD	Number	1
output	Variant	1_38399816_G_A	TBD	Number	1
output	Variant	1_38400558_C_T	TBD	Number	1
output	Variant	1_38401933_A_C	TBD	Number	1
output	Variant	1_38402459_G_A	TBD	Number	1
output	Variant	1_38402978_G_A	TBD	Number	1
output	Variant	1_38405257_T_C	TBD	Number	1
output	Variant	1_38405358_A_G	TBD	Number	1
output	Variant	1_38407014_C_T	TBD	Number	1
output	Variant	1_38407146_A_G	TBD	Number	1
output	Variant	1_38407963_G_A	TBD	Number	1
output	Variant	1_38408164_G_A	TBD	Number	1
output	Variant	1_38408846_A_G	TBD	Number	1
output	Variant	1_38408868_C_G	TBD	Number	1
output	Variant	1_38408974_T_C	TBD	Number	1
output	Variant	1_38409073_A_G	TBD	Number	1
output	Variant	1_38409103_G_C	TBD	Number	1
output	Variant	1_38410321_G_A	TBD	Number	1
output	Variant	1_38411350_C_T	TBD	Number	1
output	Variant	1_38411445_G_A	TBD	Number	1
output	Variant	1_38412270_T_C	TBD	Number	1
output	Variant	1_38415507_A_G	TBD	Number	1
output	Variant	1_38416310_C_T	TBD	Number	1
output	Variant	1_38418496_C_T	TBD	Number	1
output	Variant	1_38419218_C_T	TBD	Number	1
output	Variant	1_38423235_C_A	TBD	Number	1
output	Variant	1_38434086_A_G	TBD	Number	1
output	Variant	1_38434306_G_A	TBD	Number	1
output	Variant	1_38436277_A_C	TBD	Number	1
output	Variant	1_38443219_C_T	TBD	Number	1
output	Variant	1_38444749_T_C	TBD	Number	1
output	Variant	1_38445654_T_A	TBD	Number	1
output	Variant	1_38446986_G_A	TBD	Number	1
output	Variant	1_38448798_C_G	TBD	Number	1
output	Variant	1_38449163_C_T	TBD	Number	1
output	Variant	1_38449565_T_C	TBD	Number	1
output	Variant	1_38452581_A_G	TBD	Number	1
output	Variant	1_38453030_C_T	TBD	Number	1
output	Variant	1_38453041_G_A	TBD	Number	1
output	Variant	1_38455891_G_C	TBD	Number	1
output	Variant	1_38456106_G_A	TBD	Number	1
output	Variant	1_38457741_A_T	TBD	Number	1
output	Variant	1_38461319_C_A	TBD	Number	1
output	Variant	1_38461821_C_T	TBD	Number	1
output	Variant	1_38463504_C_T	TBD	Number	1
output	Variant	1_39797055_A_G	TBD	Number	1
output	Variant	1_41839822_G_T	TBD	Number	1
output	Variant	1_41840197_G_A	TBD	Number	1
output	Variant	1_42886185_A_G	TBD	Number	1
output	Variant	1_42894371_A_G	TBD	Number	1
output	Variant	1_42897895_C_T	TBD	Number	1
output	Variant	1_42898527_A_G	TBD	Number	1
output	Variant	1_42898633_A_G	TBD	Number	1
output	Variant	1_42973510_C_T	TBD	Number	1
output	Variant	1_43016610_C_A	TBD	Number	1
output	Variant	1_43018354_C_A	TBD	Number	1
output	Variant	1_43018872_T_G	TBD	Number	1
output	Variant	1_43034681_A_G	TBD	Number	1
output	Variant	1_43048169_A_G	TBD	Number	1
output	Variant	1_43049903_A_G	TBD	Number	1
output	Variant	1_43056069_G_C	TBD	Number	1
output	Variant	1_43058146_A_G	TBD	Number	1
output	Variant	1_43065107_C_T	TBD	Number	1
output	Variant	1_43066555_T_C	TBD	Number	1
output	Variant	1_43066699_T_C	TBD	Number	1
output	Variant	1_43074954_C_G	TBD	Number	1
output	Variant	1_43091957_A_G	TBD	Number	1
output	Variant	1_43124859_C_T	TBD	Number	1
output	Variant	1_43171536_T_C	TBD	Number	1
output	Variant	1_43172879_T_G	TBD	Number	1
output	Variant	1_43174465_G_A	TBD	Number	1
output	Variant	1_43187875_A_G	TBD	Number	1
output	Variant	1_43202636_T_C	TBD	Number	1
output	Variant	1_43235022_A_G	TBD	Number	1
output	Variant	1_43237622_C_T	TBD	Number	1
output	Variant	1_43239395_G_A	TBD	Number	1
output	Variant	1_43245324_A_G	TBD	Number	1
output	Variant	1_43245536_C_T	TBD	Number	1
output	Variant	1_43248309_A_G	TBD	Number	1
output	Variant	1_43249825_T_C	TBD	Number	1
output	Variant	1_43252191_A_G	TBD	Number	1
output	Variant	1_43254253_G_T	TBD	Number	1
output	Variant	1_43257139_G_A	TBD	Number	1
output	Variant	1_43262673_A_G	TBD	Number	1
output	Variant	1_43267814_C_T	TBD	Number	1
output	Variant	1_43275556_A_T	TBD	Number	1
output	Variant	1_43275974_G_A	TBD	Number	1
output	Variant	1_43277312_T_C	TBD	Number	1
output	Variant	1_43279094_T_C	TBD	Number	1
output	Variant	1_45381212_T_A	TBD	Number	1
output	Variant	1_45440825_C_G	TBD	Number	1
output	Variant	1_45440972_G_A	TBD	Number	1
output	Variant	1_45441041_C_T	TBD	Number	1
output	Variant	1_45441294_A_G	TBD	Number	1
output	Variant	1_45445456_C_T	TBD	Number	1
output	Variant	1_45462160_G_T	TBD	Number	1
output	Variant	1_50909985_G_A	TBD	Number	1
output	Variant	1_50981205_G_A	TBD	Number	1
output	Variant	1_51173603_C_T	TBD	Number	1
output	Variant	1_51193984_A_G	TBD	Number	1
output	Variant	1_51246155_C_T	TBD	Number	1
output	Variant	1_51266523_G_A	TBD	Number	1
output	Variant	1_51506886_A_G	TBD	Number	1
output	Variant	1_53708850_G_T	TBD	Number	1
output	Variant	1_53711735_G_C	TBD	Number	1
output	Variant	1_53712727_C_T	TBD	Number	1
output	Variant	1_55487346_C_G	TBD	Number	1
output	Variant	1_55487648_A_G	TBD	Number	1
output	Variant	1_55489542_C_T	TBD	Number	1
output	Variant	1_55491915_C_T	TBD	Number	1
output	Variant	1_55494017_T_C	TBD	Number	1
output	Variant	1_55496039_T_C	TBD	Number	1
output	Variant	1_55505647_G_T	TBD	Number	1
output	Variant	1_56915593_C_T	TBD	Number	1
output	Variant	1_56916088_A_C	TBD	Number	1
output	Variant	1_56916164_T_C	TBD	Number	1
output	Variant	1_56916499_A_G	TBD	Number	1
output	Variant	1_56927097_T_C	TBD	Number	1
output	Variant	1_56927348_C_T	TBD	Number	1
output	Variant	1_56929525_C_A	TBD	Number	1
output	Variant	1_56929541_A_G	TBD	Number	1
output	Variant	1_56929580_A_G	TBD	Number	1
output	Variant	1_56930365_T_C	TBD	Number	1
output	Variant	1_56930449_C_A	TBD	Number	1
output	Variant	1_56930618_G_A	TBD	Number	1
output	Variant	1_56930807_T_C	TBD	Number	1
output	Variant	1_56930950_T_C	TBD	Number	1
output	Variant	1_56930986_A_T	TBD	Number	1
output	Variant	1_56931353_T_G	TBD	Number	1
output	Variant	1_56932261_T_C	TBD	Number	1
output	Variant	1_56932462_C_T	TBD	Number	1
output	Variant	1_56932594_G_A	TBD	Number	1
output	Variant	1_56938218_C_T	TBD	Number	1
output	Variant	1_56939358_C_G	TBD	Number	1
output	Variant	1_56940914_C_T	TBD	Number	1
output	Variant	1_56942305_G_A	TBD	Number	1
output	Variant	1_56945666_T_C	TBD	Number	1
output	Variant	1_56948290_A_G	TBD	Number	1
output	Variant	1_56952750_T_G	TBD	Number	1
output	Variant	1_56962821_A_G	TBD	Number	1
output	Variant	1_56963627_A_G	TBD	Number	1
output	Variant	1_56965664_C_T	TBD	Number	1
output	Variant	1_56966350_A_G	TBD	Number	1
output	Variant	1_56968477_C_T	TBD	Number	1
output	Variant	1_56970418_C_A	TBD	Number	1
output	Variant	1_56971724_C_T	TBD	Number	1
output	Variant	1_56972353_G_A	TBD	Number	1
output	Variant	1_56972400_T_C	TBD	Number	1
output	Variant	1_56979076_G_A	TBD	Number	1
output	Variant	1_56979681_A_G	TBD	Number	1
output	Variant	1_56980222_A_C	TBD	Number	1
output	Variant	1_56983585_G_A	TBD	Number	1
output	Variant	1_56983656_C_T	TBD	Number	1
output	Variant	1_56986303_A_G	TBD	Number	1
output	Variant	1_56986623_C_T	TBD	Number	1
output	Variant	1_56986633_C_T	TBD	Number	1
output	Variant	1_56986978_G_T	TBD	Number	1
output	Variant	1_56988347_G_T	TBD	Number	1
output	Variant	1_56988551_A_C	TBD	Number	1
output	Variant	1_56990753_A_C	TBD	Number	1
output	Variant	1_56991294_C_T	TBD	Number	1
output	Variant	1_56991890_G_T	TBD	Number	1
output	Variant	1_56994043_A_G	TBD	Number	1
output	Variant	1_56994079_T_A	TBD	Number	1
output	Variant	1_56994695_G_A	TBD	Number	1
output	Variant	1_56996191_T_C	TBD	Number	1
output	Variant	1_56997125_G_T	TBD	Number	1
output	Variant	1_56997139_A_T	TBD	Number	1
output	Variant	1_56997712_C_T	TBD	Number	1
output	Variant	1_56997893_C_T	TBD	Number	1
output	Variant	1_56998485_T_C	TBD	Number	1
output	Variant	1_56998925_C_T	TBD	Number	1
output	Variant	1_57001898_C_T	TBD	Number	1
output	Variant	1_57002317_C_A	TBD	Number	1
output	Variant	1_57002327_C_A	TBD	Number	1
output	Variant	1_57003359_G_A	TBD	Number	1
output	Variant	1_57004417_A_T	TBD	Number	1
output	Variant	1_57006839_G_C	TBD	Number	1
output	Variant	1_57007539_T_C	TBD	Number	1
output	Variant	1_57007791_T_C	TBD	Number	1
output	Variant	1_57007897_T_G	TBD	Number	1
output	Variant	1_57008778_C_T	TBD	Number	1
output	Variant	1_57009984_T_C	TBD	Number	1
output	Variant	1_57010149_A_G	TBD	Number	1
output	Variant	1_57011200_T_C	TBD	Number	1
output	Variant	1_57011661_G_A	TBD	Number	1
output	Variant	1_57012791_T_C	TBD	Number	1
output	Variant	1_57013198_C_T	TBD	Number	1
output	Variant	1_57015295_A_G	TBD	Number	1
output	Variant	1_57015317_C_T	TBD	Number	1
output	Variant	1_57015668_A_G	TBD	Number	1
output	Variant	1_57015992_T_C	TBD	Number	1
output	Variant	1_57016131_A_C	TBD	Number	1
output	Variant	1_57016633_G_A	TBD	Number	1
output	Variant	1_57016912_A_C	TBD	Number	1
output	Variant	1_57016945_G_T	TBD	Number	1
output	Variant	1_57016992_C_T	TBD	Number	1
output	Variant	1_57017057_C_G	TBD	Number	1
output	Variant	1_57018257_C_G	TBD	Number	1
output	Variant	1_57018260_A_C	TBD	Number	1
output	Variant	1_57020109_T_G	TBD	Number	1
output	Variant	1_61010520_C_G	TBD	Number	1
output	Variant	1_61010758_G_A	TBD	Number	1
output	Variant	1_61014021_G_A	TBD	Number	1
output	Variant	1_61015473_C_G	TBD	Number	1
output	Variant	1_61018307_C_A	TBD	Number	1
output	Variant	1_61056625_T_C	TBD	Number	1
output	Variant	1_65983626_C_T	TBD	Number	1
output	Variant	1_73849655_T_G	TBD	Number	1
output	Variant	1_73849687_T_C	TBD	Number	1
output	Variant	1_77265060_T_C	TBD	Number	1
output	Variant	1_78400540_A_C	TBD	Number	1
output	Variant	1_78469660_A_G	TBD	Number	1
output	Variant	1_79117713_A_G	TBD	Number	1
output	Variant	1_79131132_A_G	TBD	Number	1
output	Variant	1_79144319_T_C	TBD	Number	1
output	Variant	1_79146699_G_A	TBD	Number	1
output	Variant	1_79147686_G_A	TBD	Number	1
output	Variant	1_79238015_T_C	TBD	Number	1
output	Variant	1_79252228_T_A	TBD	Number	1
output	Variant	1_79254762_C_G	TBD	Number	1
output	Variant	1_84134042_G_A	TBD	Number	1
output	Variant	1_97113731_T_C	TBD	Number	1
output	Variant	1_97113915_T_G	TBD	Number	1
output	Variant	1_97135440_C_T	TBD	Number	1
output	Variant	1_97141695_G_T	TBD	Number	1
output	Variant	1_97146954_A_G	TBD	Number	1
output	Variant	1_97148579_G_A	TBD	Number	1
output	Variant	1_97152559_T_C	TBD	Number	1
output	Variant	1_97164343_A_G	TBD	Number	1
output	Variant	1_97172454_G_T	TBD	Number	1
output	Variant	1_97177209_A_G	TBD	Number	1
output	Variant	1_97177244_C_G	TBD	Number	1
output	Variant	1_97178241_A_G	TBD	Number	1
output	Variant	1_97196678_C_T	TBD	Number	1
output	Variant	1_97233165_A_G	TBD	Number	1
output	Variant	1_97233708_C_T	TBD	Number	1
output	Variant	1_97238705_G_A	TBD	Number	1
output	Variant	1_97258468_G_A	TBD	Number	1
output	Variant	1_97262716_C_T	TBD	Number	1
output	Variant	1_97272456_A_G	TBD	Number	1
output	Variant	1_97283033_T_C	TBD	Number	1
output	Variant	1_97284496_C_A	TBD	Number	1
output	Variant	1_98299475_C_A	TBD	Number	1
output	Variant	1_98305394_G_A	TBD	Number	1
output	Variant	1_98316285_T_G	TBD	Number	1
output	Variant	1_98318735_C_T	TBD	Number	1
output	Variant	1_98322379_C_T	TBD	Number	1
output	Variant	1_98325947_A_G	TBD	Number	1
output	Variant	1_98327831_C_T	TBD	Number	1
output	Variant	1_98328093_C_T	TBD	Number	1
output	Variant	1_98334990_G_T	TBD	Number	1
output	Variant	1_98336329_G_A	TBD	Number	1
output	Variant	1_98336823_T_G	TBD	Number	1
output	Variant	1_98337283_A_G	TBD	Number	1
output	Variant	1_98340139_A_T	TBD	Number	1
output	Variant	1_98341152_G_T	TBD	Number	1
output	Variant	1_98342417_G_A	TBD	Number	1
output	Variant	1_98342685_C_A	TBD	Number	1
output	Variant	1_98345019_G_A	TBD	Number	1
output	Variant	1_98346177_T_C	TBD	Number	1
output	Variant	1_98348885_G_A	TBD	Number	1
output	Variant	1_98352053_A_T	TBD	Number	1
output	Variant	1_98359342_C_T	TBD	Number	1
output	Variant	1_98365310_A_C	TBD	Number	1
output	Variant	1_98369744_G_A	TBD	Number	1
output	Variant	1_98376245_C_T	TBD	Number	1
output	Variant	1_98378786_A_C	TBD	Number	1
output	Variant	1_98382114_G_T	TBD	Number	1
output	Variant	1_98394864_A_G	TBD	Number	1
output	Variant	1_98395881_G_T	TBD	Number	1
output	Variant	1_98417446_G_C	TBD	Number	1
output	Variant	1_98417967_C_A	TBD	Number	1
output	Variant	1_98425888_A_G	TBD	Number	1
output	Variant	1_98431639_G_A	TBD	Number	1
output	Variant	1_98436232_T_G	TBD	Number	1
output	Variant	1_98441888_T_C	TBD	Number	1
output	Variant	1_98443509_C_T	TBD	Number	1
output	Variant	1_98456907_C_A	TBD	Number	1
output	Variant	1_98461954_T_C	TBD	Number	1
output	Variant	1_98470605_A_G	TBD	Number	1
output	Variant	1_98474767_C_T	TBD	Number	1
output	Variant	1_98480128_T_C	TBD	Number	1
output	Variant	1_98487763_G_A	TBD	Number	1
output	Variant	1_98488030_G_A	TBD	Number	1
output	Variant	1_98489735_T_C	TBD	Number	1
output	Variant	1_98490165_C_T	TBD	Number	1
output	Variant	1_98491732_T_C	TBD	Number	1
output	Variant	1_98502934_G_T	TBD	Number	1
output	Variant	1_98508258_C_T	TBD	Number	1
output	Variant	1_98512127_G_T	TBD	Number	1
output	Variant	1_98524960_A_G	TBD	Number	1
output	Variant	1_98526167_T_C	TBD	Number	1
output	Variant	1_98528211_A_C	TBD	Number	1
output	Variant	1_98528452_C_T	TBD	Number	1
output	Variant	1_98547502_A_G	TBD	Number	1
output	Variant	1_98550374_G_A	TBD	Number	1
output	Variant	1_98550411_T_C	TBD	Number	1
output	Variant	1_98552832_A_T	TBD	Number	1
output	Variant	1_101943026_C_T	TBD	Number	1
output	Variant	1_101943331_A_G	TBD	Number	1
output	Variant	1_101945150_T_C	TBD	Number	1
output	Variant	1_101945171_T_C	TBD	Number	1
output	Variant	1_101945626_T_C	TBD	Number	1
output	Variant	1_101947197_A_T	TBD	Number	1
output	Variant	1_101947657_T_A	TBD	Number	1
output	Variant	1_101950270_T_G	TBD	Number	1
output	Variant	1_101951693_T_C	TBD	Number	1
output	Variant	1_101964376_T_A	TBD	Number	1
output	Variant	1_101973050_G_A	TBD	Number	1
output	Variant	1_101973613_C_A	TBD	Number	1
output	Variant	1_101978334_T_C	TBD	Number	1
output	Variant	1_101985997_A_C	TBD	Number	1
output	Variant	1_101986109_A_C	TBD	Number	1
output	Variant	1_101992222_A_G	TBD	Number	1
output	Variant	1_101996097_G_A	TBD	Number	1
output	Variant	1_102032259_G_C	TBD	Number	1
output	Variant	1_102033368_A_G	TBD	Number	1
output	Variant	1_102033539_C_T	TBD	Number	1
output	Variant	1_102034837_A_C	TBD	Number	1
output	Variant	1_102035644_A_T	TBD	Number	1
output	Variant	1_102039065_C_G	TBD	Number	1
output	Variant	1_109366286_C_T,G	TBD	Number	1
output	Variant	1_109757295_G_A	TBD	Number	1
output	Variant	1_109760555_T_C	TBD	Number	1
output	Variant	1_109776285_T_C	TBD	Number	1
output	Variant	1_109784082_G_A	TBD	Number	1
output	Variant	1_109800321_C_T	TBD	Number	1
output	Variant	1_109800349_G_A	TBD	Number	1
output	Variant	1_109804646_G_A	TBD	Number	1
output	Variant	1_109804883_C_G	TBD	Number	1
output	Variant	1_109806834_C_T	TBD	Number	1
output	Variant	1_109807099_G_A	TBD	Number	1
output	Variant	1_109807283_A_T	TBD	Number	1
output	Variant	1_109810200_G_A	TBD	Number	1
output	Variant	1_109810201_G_A,C	TBD	Number	1
output	Variant	1_109813020_G_A	TBD	Number	1
output	Variant	1_109813510_A_T	TBD	Number	1
output	Variant	1_109813719_C_T	TBD	Number	1
output	Variant	1_109814880_C_T	TBD	Number	1
output	Variant	1_109815252_A_G	TBD	Number	1
output	Variant	1_109817192_A_G	TBD	Number	1
output	Variant	1_109817245_C_T	TBD	Number	1
output	Variant	1_109817590_G_T	TBD	Number	1
output	Variant	1_109817838_T_C	TBD	Number	1
output	Variant	1_109818306_G_T	TBD	Number	1
output	Variant	1_109818530_C_T	TBD	Number	1
output	Variant	1_109819296_C_A	TBD	Number	1
output	Variant	1_109819615_C_T	TBD	Number	1
output	Variant	1_109819981_C_T	TBD	Number	1
output	Variant	1_109820884_A_G	TBD	Number	1
output	Variant	1_109821307_G_T	TBD	Number	1
output	Variant	1_109821511_T_G	TBD	Number	1
output	Variant	1_109821797_G_A	TBD	Number	1
output	Variant	1_109822008_G_T	TBD	Number	1
output	Variant	1_109822143_G_A	TBD	Number	1
output	Variant	1_109822166_G_A	TBD	Number	1
output	Variant	1_109824250_G_A	TBD	Number	1
output	Variant	1_109826136_C_T	TBD	Number	1
output	Variant	1_109827253_A_G	TBD	Number	1
output	Variant	1_109830993_C_T	TBD	Number	1
output	Variant	1_109831225_G_A	TBD	Number	1
output	Variant	1_109832027_G_A	TBD	Number	1
output	Variant	1_109832283_A_G	TBD	Number	1
output	Variant	1_109833187_G_A	TBD	Number	1
output	Variant	1_109834938_C_T	TBD	Number	1
output	Variant	1_109835163_C_T	TBD	Number	1
output	Variant	1_109839392_A_G,T	TBD	Number	1
output	Variant	1_109839400_C_T	TBD	Number	1
output	Variant	1_110201580_C_T	TBD	Number	1
output	Variant	1_111144955_C_T	TBD	Number	1
output	Variant	1_115867271_G_A	TBD	Number	1
output	Variant	1_115873047_G_T	TBD	Number	1
output	Variant	1_115877624_G_A	TBD	Number	1
output	Variant	1_118547183_T_C	TBD	Number	1
output	Variant	1_120437884_A_G	TBD	Number	1
output	Variant	1_120439109_G_C	TBD	Number	1
output	Variant	1_120440029_T_C	TBD	Number	1
output	Variant	1_120443540_C_T	TBD	Number	1
output	Variant	1_120446063_T_C	TBD	Number	1
output	Variant	1_120451190_T_C	TBD	Number	1
output	Variant	1_120455586_T_C	TBD	Number	1
output	Variant	1_120456563_G_T	TBD	Number	1
output	Variant	1_120461253_C_T	TBD	Number	1
output	Variant	1_120471224_A_G	TBD	Number	1
output	Variant	1_120471857_C_T	TBD	Number	1
output	Variant	1_120474178_C_T	TBD	Number	1
output	Variant	1_120474507_G_T	TBD	Number	1
output	Variant	1_120480709_C_T	TBD	Number	1
output	Variant	1_120489057_A_T	TBD	Number	1
output	Variant	1_120495506_T_C	TBD	Number	1
output	Variant	1_120496119_A_T	TBD	Number	1
output	Variant	1_120496127_A_C	TBD	Number	1
output	Variant	1_120498086_G_C	TBD	Number	1
output	Variant	1_120500951_C_G	TBD	Number	1
output	Variant	1_120506108_G_A	TBD	Number	1
output	Variant	1_120513548_C_T	TBD	Number	1
output	Variant	1_120516618_C_T	TBD	Number	1
output	Variant	1_120517959_G_T	TBD	Number	1
output	Variant	1_120523902_T_C	TBD	Number	1
output	Variant	1_120526982_C_T	TBD	Number	1
output	Variant	1_150513711_A_G	TBD	Number	1
output	Variant	1_150526044_G_C	TBD	Number	1
output	Variant	1_150633079_A_G	TBD	Number	1
output	Variant	1_150647987_C_T	TBD	Number	1
output	Variant	1_150651175_C_T	TBD	Number	1
output	Variant	1_150657011_T_G	TBD	Number	1
output	Variant	1_150659173_C_G	TBD	Number	1
output	Variant	1_150663507_C_A	TBD	Number	1
output	Variant	1_150673684_T_C	TBD	Number	1
output	Variant	1_150676485_T_C	TBD	Number	1
output	Variant	1_150683512_C_A	TBD	Number	1
output	Variant	1_150687296_C_T	TBD	Number	1
output	Variant	1_150688596_T_C	TBD	Number	1
output	Variant	1_150690224_G_A	TBD	Number	1
output	Variant	1_150709723_C_T	TBD	Number	1
output	Variant	1_150951857_G_A	TBD	Number	1
output	Variant	1_150952674_C_T	TBD	Number	1
output	Variant	1_150961869_A_G	TBD	Number	1
output	Variant	1_151737349_T_A	TBD	Number	1
output	Variant	1_151743275_T_G	TBD	Number	1
output	Variant	1_151744168_T_C	TBD	Number	1
output	Variant	1_151746079_A_T	TBD	Number	1
output	Variant	1_151746202_T_A	TBD	Number	1
output	Variant	1_151753108_C_T	TBD	Number	1
output	Variant	1_151753622_T_G	TBD	Number	1
output	Variant	1_151755284_C_G	TBD	Number	1
output	Variant	1_151757798_C_T	TBD	Number	1
output	Variant	1_151759104_C_T	TBD	Number	1
output	Variant	1_151759223_T_A	TBD	Number	1
output	Variant	1_151760131_T_C	TBD	Number	1
output	Variant	1_151760792_A_G	TBD	Number	1
output	Variant	1_151762308_C_G	TBD	Number	1
output	Variant	1_151763246_G_A	TBD	Number	1
output	Variant	1_151763767_C_T	TBD	Number	1
output	Variant	1_151763815_C_T	TBD	Number	1
output	Variant	1_151764049_A_G	TBD	Number	1
output	Variant	1_151765815_C_G	TBD	Number	1
output	Variant	1_151766490_C_T	TBD	Number	1
output	Variant	1_151766588_A_G	TBD	Number	1
output	Variant	1_151766851_T_A	TBD	Number	1
output	Variant	1_151768048_A_G	TBD	Number	1
output	Variant	1_151769750_T_C	TBD	Number	1
output	Variant	1_151769806_G_A	TBD	Number	1
output	Variant	1_151769887_A_C	TBD	Number	1
output	Variant	1_151770138_T_C	TBD	Number	1
output	Variant	1_151799790_T_A	TBD	Number	1
output	Variant	1_151802639_C_T	TBD	Number	1
output	Variant	1_154394297_G_A	TBD	Number	1
output	Variant	1_154394417_T_A	TBD	Number	1
output	Variant	1_154395125_G_A	TBD	Number	1
output	Variant	1_154395212_C_A	TBD	Number	1
output	Variant	1_154395839_C_T	TBD	Number	1
